Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
510652,O Amor nos Tempos do Cólera,Gabriel García Márquez,"Márquez, Gabriel García",,"=""850102872X""","=""9788501028723""",0,Record,Paperback,432,1998,1985,,2026/05/20,to-read,to-read (#84),to-read,,,,0,0
3234419,Cem Anos de Solidão,Gabriel García Márquez,"Márquez, Gabriel García",Margarida Santiago,"=""9722000314""","=""9789722000314""",0,Publicações Dom Quixote,Paperback,378,2005,1967,,2026/04/03,currently-reading,currently-reading (#3),currently-reading,,,,1,0
21206786,How Much Land Does a Man Need?,Leo Tolstoy,"Tolstoy, Leo",,"=""""","=""""",0,Calypso Editions,Kindle Edition,66,2013,1886,2026/04/03,2026/04/02,,,read,,,,1,0
56705963,Ballad for Sophie,Filipe Melo,"Melo, Filipe","Juan Cavia, Gabriela Soares","=""1603094989""","=""9781603094986""",5,Top Shelf Productions,Paperback,320,2021,2020,2026/03/27,2024/06/17,favorites,favorites (#5),read,"Um livro escrito por quem ama música, ilustrado por um mestre das artes plásticas.<br/>Uma verdadeira e completa obra de arte. Impossível não amar esta história.",,,1,0
43726576,How Charts Lie: Getting Smarter about Visual Information,Alberto Cairo,"Cairo, Alberto",,"=""1324001569""","=""9781324001560""",0,W. W. Norton & Company,Hardcover,256,2019,2019,,2024/09/29,to-read,to-read (#83),to-read,,,,1,0
123255619,O Dever de Deslumbrar - Biografia de Natália Correia,Filipa Martins,"Martins, Filipa",,"=""9896661766""","=""9789896661762""",0,Contraponto Editores,Paperback,695,2023,2023,,2024/11/20,did-not-finish,did-not-finish (#1),did-not-finish,,,,1,0
39996759,A Philosophy of Software Design,John Ousterhout,"Ousterhout, John",,"=""1732102201""","=""9781732102200""",0,Yaknyam Press,Paperback,190,2018,2018,,2026/03/27,currently-reading,currently-reading (#2),currently-reading,,,,1,0
199296673,A Malnascida,Beatrice Salvioni,"Salvioni, Beatrice",,"=""989784872X""","=""9789897848728""",5,Alfaguara,Paperback,248,2023,2023,2026/03/23,2025/01/01,,,read,,,,1,0
227966799,Nem Todas as Árvores Morrem de Pé,Luísa Sobral,"Sobral, Luísa",,"=""9722084909""","=""9789722084901""",0,Dom Quixote,Paperback,224,2025,2025,,2026/03/21,to-read,to-read (#82),to-read,,,,0,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",0,Ballantine Books,Hardcover,476,2021,2021,,2026/03/21,to-read,to-read (#81),to-read,,,,0,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""1400078776""","=""9781400078776""",0,Vintage Books ,Paperback,288,2010,2005,,2026/03/14,to-read,to-read (#80),to-read,,,,0,0
211096409,Catarina e a Beleza de Matar Fascistas,Tiago Rodrigues,"Rodrigues, Tiago",Gonçalo Frota,"=""9896718261""","=""9789896718268""",4,Tinta da China,Paperback,224,2024,,2026/03/13,2025/07/22,,,read,"Teatro que nos traz uma ótima reflexão. Relativamente ao livro como um todo, infelizmente o posfácio, apesar de conter vários elementos interessantes, demontrou-se demasiado extenso.",,,1,0
