match_method,match_score,gr_shelf,gr_title,gr_author,gr_isbn,gr_isbn13,gr_my_rating,gr_publisher,gr_binding,gr_pages,gr_year_published,gr_original_year,gr_date_read,gr_date_added,gr_bookshelves,gr_my_review,gr_read_count,gr_book_id,feira_titulo,feira_subtitulo,feira_autor,feira_isbn,feira_chancela,feira_participante,feira_stand,feira_pvp,feira_pvp_feira,feira_pvp_livro_do_dia,feira_livro_do_dia_datas,feira_cover_jpg,feira_cover_webp
isbn,100,did-not-finish,O Dever de Deslumbrar - Biografia de Natália Correia,Filipa Martins,9896661766,9789896661762,0,Contraponto Editores,Paperback,695,2023,2023,,2024/11/20,did-not-finish,,1,123255619,O Dever de Deslumbrar,,Filipa Martins,9789896661762,Contraponto Editores,BERTRAND EDITORA,A10,24.90,17.43,14.94,"2026-05-28, 2026-06-02, 2026-06-07, 2026-06-12",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896661762.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896661762.webp
isbn,100,read,A Malnascida,Beatrice Salvioni,989784872X,9789897848728,5,Alfaguara,Paperback,248,2023,2023,2026/03/23,2025/01/01,read,,1,199296673,A malnascida,,Beatrice Salvioni,9789897848728,ALFAGUARA,PENGUIN RANDOM HOUSE,H28,18.85,15.08,11.31,"2026-06-06, 2026-06-10",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897848728.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897848728.webp
isbn,100,read,Catarina e a Beleza de Matar Fascistas,Tiago Rodrigues,9896718261,9789896718268,4,Tinta da China,Paperback,224,2024,,2026/03/13,2025/07/22,read,"Teatro que nos traz uma ótima reflexão. Relativamente ao livro como um todo, infelizmente o posfácio, apesar de conter vários elementos interessantes, demontrou-se demasiado extenso.",1,211096409,Catarina e a Beleza de Matar Fascistas,,Tiago Rodrigues,9789896718268,Tinta-da-china,TINTA-DA-CHINA,E18,16.90,14.00,10.14,"2026-06-04, 2026-06-14",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896718268.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896718268.webp
isbn,100,read,O Caderno Proibido,Alba de Céspedes,9897872310,9789897872310,5,Alfaguara,Paperback,294,2024,1952,2025/12/24,2025/04/04,read,,1,213975223,O caderno proibido,,Alba de Céspedes,9789897872310,ALFAGUARA,PENGUIN RANDOM HOUSE,H28,19.45,15.56,11.67,"2026-06-04, 2026-06-10, 2026-05-27",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897872310.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897872310.webp
isbn,100,read,A Desobediente: Biografia de Maria Teresa Horta,Patrícia Reis,9896663564,9789896663568,4,Contraponto Editores,Paperback,424,2024,,2025/09/30,2024/12/10,read,,1,208877363,A Desobediente,,Patrícia Reis,9789896663568,Contraponto Editores,BERTRAND EDITORA,A10,20.90,14.63,12.54,"2026-05-28, 2026-06-02, 2026-06-07, 2026-06-12",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896663568.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896663568.webp
isbn,100,to-read,Novas Cartas Portuguesas,Maria Isabel Barreno,9722040111,9789722040112,0,Publicações Dom Quixote,Paperback,415,2010,1972,,2025/02/04,to-read,,0,9938267,NOVAS CARTAS PORTUGUESAS  EDIÇÃO ANOTADA,,AAVV,9789722040112,DOM QUIXOTE,LEYA,F18,24.90,19.90,14.90,"2026-05-27, 2026-06-02, 2026-06-05, 2026-06-08, 2026-06-11, 2026-06-14",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789722040112.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789722040112.webp
isbn,100,to-read,A Cicatriz,Maria Francisca Gama,9897875751,9789897875755,0,Suma de Letras / Penguin,Paperback,168,2024,2024,,2024/09/12,to-read,,0,207727069,A Cicatriz,,Maria Francisca Gama,9789897875755,SUMA DE LETRAS,PENGUIN RANDOM HOUSE,E16,16.25,13.00,9.75,"2026-05-30, 2026-06-07, 2026-06-12, 2026-06-13",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897875755.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897875755.webp
fuzzy,92.2,to-read,O Amor nos Tempos do Cólera,Gabriel García Márquez,850102872X,9788501028723,0,Record,Paperback,432,1998,1985,,2026/05/20,to-read,,0,510652,BIS - O AMOR NOS TEMPOS DE CÓLERA,,GABRIEL GARCÍA MÁRQUEZ,9789896602123,LEYA,LEYA,F18,9.95,8.00,6.00,"2026-05-31, 2026-06-05, 2026-06-11",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896602123.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896602123.webp
fuzzy,100.0,currently-reading,Cem Anos de Solidão,Gabriel García Márquez,9722000314,9789722000314,0,Publicações Dom Quixote,Paperback,378,2005,1967,,2026/04/03,currently-reading,,1,3234419,CEM ANOS DE SOLIDÃO,,GABRIEL GARCÍA MÁRQUEZ,9789722063883,DOM QUIXOTE,LEYA,H56,22.20,17.80,13.30,"2026-05-31, 2026-06-08, 2026-06-10, 2026-06-14",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789722063883.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789722063883.webp
fuzzy,85.0,read,Ballad for Sophie,Filipe Melo,1603094989,9781603094986,5,Top Shelf Productions,Paperback,320,2021,2020,2026/03/27,2024/06/17,favorites,"Um livro escrito por quem ama música, ilustrado por um mestre das artes plásticas.<br/>Uma verdadeira e completa obra de arte. Impossível não amar esta história.",1,56705963,Balada para Sophie,,Juan Cavia Filipe Melo,9789897842825,COMPANHIA DAS LETRAS,PENGUIN RANDOM HOUSE,H25,37.75,30.20,22.65,"2026-06-04, 2026-06-13, 2026-06-14, 2026-05-30, 2026-06-05",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897842825.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897842825.webp
fuzzy,73.0,to-read,Project Hail Mary,Andy Weir,0593135202,9780593135204,0,Ballantine Books,Hardcover,476,2021,2021,,2026/03/21,to-read,,0,54493401,Projeto Hail Mary — Edição de Filme,,Andy Weir,9789895776450,Cultura,GRUPO INFINITO PARTICULAR,B09,22.90,20.61,18.32,2026-05-31,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789895776450.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789895776450.webp
fuzzy,79.5,read,Blue Sisters,Coco Mellors,0593723767,9780593723760,4,Ballantine Books,Hardcover,352,2024,2024,2025/12/01,2024/09/02,read,,1,195430687,Irmãs Blue,,Coco Mellors,9789895771493,Cultura,GRUPO INFINITO PARTICULAR,B09,19.95,17.96,15.96,2026-06-02,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789895771493.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789895771493.webp
fuzzy,100.0,read,"Um Dedo Borrado de Tinta, Histórias de Quem Não Pôde Aprender a Ler",Catarina  Gomes,9899153508,9789899153509,4,Fundação Francisco Manuel dos Santos,Kindle Edition,87,2024,2024,2025/10/13,2025/01/15,read,,1,208579942,"Um Dedo Borrado de Tinta, Histórias de Quem Não Pôde Aprender a Ler",,Catarina Gomes,9789899153493,FFMS - Fundação Francisco Manuel dos Santos,FUNDAÇÃO FRANCISCO MANUEL DOS SANTOS,E29,5.00,4.00,2.50,2026-06-02,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789899153493.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789899153493.webp
fuzzy,81.2,read,O Retorno,Dulce Maria Cardoso,,9788565500012,5,Edições Tinta-da-China Brasil,Hardcover,271,2013,2012,2025/10/10,2024/01/04,read,,1,12971382,Retorno (O) (Bolso),,Dulce Maria Cardoso,9789896711160,Tinta-da-china,TINTA-DA-CHINA,E18,16.90,14.00,10.14,"2026-06-07, 2026-06-14",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896711160.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896711160.webp
fuzzy,82.4,read,O Pequeno Livro do Grande Terramoto: Ensaio sobre 1755,Rui Tavares,9728955014,9789728955014,4,Edições Tinta-da-China,Paperback,224,2009,2005,,2025/06/26,read,,2,7512097,Pequeno Livro do Grande Terramoto (O) (Bolso),,Rui Tavares,9789728955892,Tinta-da-china,TINTA-DA-CHINA,E18,15.90,12.00,9.54,"2026-06-02, 2026-06-14",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789728955892.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789728955892.webp
fuzzy,100.0,read,Circe,Madeline Miller,0316556343,9780316556347,5,"Little, Brown and Company",Hardcover,393,2018,2018,2024/04/05,2023/12/23,read,,1,35959740,CIRCE,,"Miller, Madeline",9789899027022,Minotauro,GRUPO ALMEDINA,A55,23.50,16.45,11.75,2026-06-13,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789899027022.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789899027022.webp
fuzzy,100.0,read,O Principezinho,Antoine de Saint-Exupéry,9722328298,9789722328296,5,Editorial Presença,Paperback,96,2009,1943,,2022/01/21,favorites,,1,3143104,O PRINCIPEZINHO,,ANTOINE DE SAINT-EXUPÉRY,9789722055932,DOM QUIXOTE,LEYA,E32,7.00,5.60,4.20,2026-06-04,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789722055932.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789722055932.webp
fuzzy,100.0,read,A Natureza da Mordida,Carla Madeira,9788566256,9788566256352,5,Quixote+Do,Paperback,268,2018,2018,2025/06/17,2025/06/01,read,,1,43226692,A Natureza da Mordida,,Carla Madeira,9789899150553,Particular,GRUPO INFINITO PARTICULAR,B09,19.45,15.56,11.67,2026-06-08,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789899150553.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789899150553.webp
fuzzy,83.3,to-read,Um Quarto Só Para Si,Virginia Woolf,972708852X,9789727088522,0,Relógio D'Água Editores,Paperback,162,2007,1929,,2025/02/04,to-read,,0,23551324,Um Quarto Só Seu,,Virginia Woolf,9789897843327,PENGUIN CLÁSSICOS,PENGUIN RANDOM HOUSE,H23,9.95,7.96,5.97,"2026-05-30, 2026-06-04, 2026-06-07, 2026-06-13",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897843327.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897843327.webp
fuzzy,100.0,read,Madame Bovary,Gustave Flaubert,0192840398,9780192840394,4,Oxford University Press,Paperback,329,2004,1856,2025/01/22,2024/12/23,read,,1,2175,MADAME BOVARY,,Gustave Flaubert,9789897022173,Guerra e Paz,GUERRA E PAZ EDITORES,B29,15.50,10.85,9.30,2026-06-08,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897022173.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897022173.webp
fuzzy,97.0,read,Frida Kahlo: Una biografía,María Hesse,8426403433,9788426403438,4,Lumen,Hardcover,149,2016,2016,2024/05/06,2024/05/05,read,,1,33098885,Frida Kahlo. Uma biografia,,María Hesse,9789897847660,IGUANA,PENGUIN RANDOM HOUSE,H22,20.45,16.36,12.27,"2026-06-04, 2026-06-14",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897847660.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897847660.webp
fuzzy,100.0,to-read,A Casa Holandesa,Ann Patchett,8551005901,9788551005903,0,Intrínseca,Hardcover,340,2020,2019,,2024/12/18,to-read,,0,53301633,A Casa Holandesa,,Ann Patchett,9789898860286,Cultura,GRUPO INFINITO PARTICULAR,B09,19.45,15.56,11.67,"2026-05-28, 2026-06-11",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789898860286.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789898860286.webp
fuzzy,86.1,to-read,The Vegetarian,Han Kang,0553448188,9780553448184,0,Hogarth,Hardcover,158,2016,2007,,2024/10/10,to-read,,0,25489025,A VEGETARIANA,,HAN KANG,9789722061070,DOM QUIXOTE,LEYA,H56,16.60,13.30,10.00,"2026-05-29, 2026-06-06",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789722061070.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789722061070.webp
fuzzy,78.2,to-read,The Great Gatsby,F. Scott Fitzgerald,0743273567,9780743273565,0,Scribner,Paperback,180,2025,1925,,2024/08/15,to-read,,0,4671,GRANDE GATSBY (O),,"Fitzgerald, F. Scott",9789896413750,Relógio D’Água Editores,RELÓGIO D&#8217;ÁGUA EDITORES,B40,12.00,9.50,7.00,"2026-05-29, 2026-06-04, 2026-06-10",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896413750.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896413750.webp
fuzzy,100.0,to-read,Norwegian Wood,Haruki Murakami,,,0,Vintage Books,Paperback,296,2000,1987,,2024/07/14,to-read,,0,11297,NORWEGIAN WOOD,,HARUKI MURAKAMI,9789897416262,CASA DAS LETRAS,LEYA,H53,19.90,15.90,11.90,"2026-05-30, 2026-06-14",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897416262.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897416262.webp
fuzzy,76.0,to-read,The Picture of Dorian Gray,Oscar Wilde,,,0,Random House: Modern Library,Paperback,272,2004,1890,,2024/06/25,to-read,,0,5297,O RETRATO DE DORIAN GRAY,,Oscar Wilde,9789897021978,Guerra e Paz,GUERRA E PAZ EDITORES,B29,15.50,10.85,9.30,"2026-05-30, 2026-06-07, 2026-06-12, 2026-06-14",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897021978.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897021978.webp
fuzzy,91.0,read,Cleopatra and Frankenstein,Coco Mellors,1635576814,9781635576818,5,Bloomsbury Publishing,Paperback,368,2022,2022,2024/05/20,2023/12/27,read,,1,57693262,Cleópatra e Frankenstein,,Coco Mellors,9789895771912,Cultura,GRUPO INFINITO PARTICULAR,B09,20.95,18.86,16.76,2026-06-08,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789895771912.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789895771912.webp
